i,b
1,57
2,40
3,69
4,69
5,19
6,57
7,60
8,43
9,56
10,55
11,37
12,76
13,57
14,26
15,76
16,25
17,24
18,59
19,69
20,54
21,55
22,34
23,44
24,61
25,34
26,54
27,58
28,70
29,36
30,54
31,41
32,38
33,50
34,78
35,69
36,67
37,73
38,42
39,61
40,32
41,45
42,58
43,27
44,59
45,57
46,57
47,36
48,37
49,53
50,45
51,40
52,36
53,34
54,38
55,71
56,32
57,44
58,32
59,67
60,42
61,55
62,68
63,43
64,45
65,65
66,58
67,56
68,68
69,50
70,54
71,56
72,80
73,48
74,61
75,54
76,76
77,47
78,44
79,36
80,15
81,39
82,51
83,73
84,53
85,32
86,40
87,33
88,31
89,62
90,41
91,37
92,50
93,54
94,33
95,40
96,49
97,41
98,47
99,47
100,29
