i,b
1,81
2,12
3,58
4,33
5,37
6,14
7,58
8,26
9,16
10,13
11,51
12,20
13,18
14,92
15,25
16,32
17,36
18,74
19,97
20,32
21,99
22,89
23,56
24,44
25,10
26,77
27,85
28,35
29,7
30,35
31,26
32,82
33,61
34,60
35,77
36,52
37,88
38,80
39,49
40,28
41,34
42,42
43,64
44,10
45,4
46,100
47,50
48,48
49,32
50,25
51,91
52,66
53,62
54,3
55,32
56,75
57,38
58,38
59,71
60,93
61,97
62,2
63,92
64,89
65,78
66,57
67,26
68,49
69,30
70,86
71,15
72,34
73,100
74,53
75,78
76,49
77,48
78,46
79,78
80,72
81,99
82,18
83,98
84,20
85,84
86,8
87,99
88,65
89,13
90,44
91,93
92,39
93,35
94,98
95,45
96,4
97,99
98,96
99,15
100,30
